[2019-08-13 15:34:11,842]-[INFO]-[api]-[267]   async_GetHistoryDataObjectRecordSetsRequest success!
[2019-08-13 15:34:11,842]-[CRITICAL]-[main]-[71]   {'case_id': 'ASyncGetHistoryDataObjectRecordSets_1', 'date': '2019-08-13 15:34:09.839447', 'status': '结束', 'exec_point': 'end', 'result_code': 1, 'totle_time': 2.000195026397705, 'check_case': '暂时没想到咋校验', 'check_result': 'success', 'data_count': 0}
[2019-08-13 15:34:12,028]-[INFO]-[api]-[267]   async_GetHistoryDataObjectRecordSetsRequest success!
[2019-08-13 15:34:12,028]-[CRITICAL]-[main]-[71]   {'case_id': 'ASyncGetHistoryDataObjectRecordSets_1', 'date': '2019-08-13 15:34:10.023765', 'status': '结束', 'exec_point': 'end', 'result_code': 1, 'totle_time': 2.001397132873535, 'check_case': '暂时没想到咋校验', 'check_result': 'success', 'data_count': 0}
[2019-08-14 15:22:11,724]-[CRITICAL]-[main]-[59]   Run Test: ASyncGetHistoryDataObjectRecordSets_1
[2019-08-14 15:22:11,725]-[INFO]-[history_pb_requests]-[19]   start make pb_request.
[2019-08-14 15:22:12,037]-[CRITICAL]-[main]-[59]   Run Test: ASyncGetHistoryDataObjectRecordSets_1
[2019-08-14 15:22:12,037]-[INFO]-[history_pb_requests]-[19]   start make pb_request.
[2019-08-14 15:22:12,303]-[CRITICAL]-[main]-[59]   Run Test: ASyncGetHistoryDataObjectRecordSets_1
[2019-08-14 15:22:12,303]-[INFO]-[history_pb_requests]-[19]   start make pb_request.
[2019-08-14 15:22:13,728]-[INFO]-[api]-[267]   async_GetHistoryDataObjectRecordSetsRequest success!
[2019-08-14 15:22:13,728]-[CRITICAL]-[main]-[71]   {'case_id': 'ASyncGetHistoryDataObjectRecordSets_1', 'date': '2019-08-14 15:22:11.725457', 'status': '结束', 'exec_point': 'end', 'result_code': 1, 'totle_time': 2.0007641315460205, 'check_case': '暂时没想到咋校验', 'check_result': 'success', 'data_count': 0}
[2019-08-14 15:22:14,041]-[INFO]-[api]-[267]   async_GetHistoryDataObjectRecordSetsRequest success!
[2019-08-14 15:22:14,041]-[CRITICAL]-[main]-[71]   {'case_id': 'ASyncGetHistoryDataObjectRecordSets_1', 'date': '2019-08-14 15:22:12.037937', 'status': '结束', 'exec_point': 'end', 'result_code': 1, 'totle_time': 2.0015575885772705, 'check_case': '暂时没想到咋校验', 'check_result': 'success', 'data_count': 0}
[2019-08-14 15:22:14,306]-[INFO]-[api]-[267]   async_GetHistoryDataObjectRecordSetsRequest success!
[2019-08-14 15:22:14,306]-[CRITICAL]-[main]-[71]   {'case_id': 'ASyncGetHistoryDataObjectRecordSets_1', 'date': '2019-08-14 15:22:12.303069', 'status': '结束', 'exec_point': 'end', 'result_code': 1, 'totle_time': 2.0008885860443115, 'check_case': '暂时没想到咋校验', 'check_result': 'success', 'data_count': 0}
[2019-08-14 15:22:14,438]-[CRITICAL]-[main]-[59]   Run Test: ASyncGetHistoryDataObjectRecordSets_1
[2019-08-14 15:22:14,438]-[INFO]-[history_pb_requests]-[19]   start make pb_request.
[2019-08-14 15:22:14,751]-[CRITICAL]-[main]-[59]   Run Test: ASyncGetHistoryDataObjectRecordSets_1
[2019-08-14 15:22:14,752]-[INFO]-[history_pb_requests]-[19]   start make pb_request.
[2019-08-14 15:22:14,937]-[CRITICAL]-[main]-[59]   Run Test: ASyncGetHistoryDataObjectRecordSets_1
[2019-08-14 15:22:14,937]-[INFO]-[history_pb_requests]-[19]   start make pb_request.
[2019-08-14 15:22:16,442]-[INFO]-[api]-[267]   async_GetHistoryDataObjectRecordSetsRequest success!
[2019-08-14 15:22:16,442]-[CRITICAL]-[main]-[71]   {'case_id': 'ASyncGetHistoryDataObjectRecordSets_1', 'date': '2019-08-14 15:22:14.438898', 'status': '结束', 'exec_point': 'end', 'result_code': 1, 'totle_time': 2.0005104541778564, 'check_case': '暂时没想到咋校验', 'check_result': 'success', 'data_count': 0}
[2019-08-14 15:22:16,755]-[INFO]-[api]-[267]   async_GetHistoryDataObjectRecordSetsRequest success!
[2019-08-14 15:22:16,755]-[CRITICAL]-[main]-[71]   {'case_id': 'ASyncGetHistoryDataObjectRecordSets_1', 'date': '2019-08-14 15:22:14.752719', 'status': '结束', 'exec_point': 'end', 'result_code': 1, 'totle_time': 2.0001704692840576, 'check_case': '暂时没想到咋校验', 'check_result': 'success', 'data_count': 0}
[2019-08-14 15:22:16,940]-[INFO]-[api]-[267]   async_GetHistoryDataObjectRecordSetsRequest success!
[2019-08-14 15:22:16,940]-[CRITICAL]-[main]-[71]   {'case_id': 'ASyncGetHistoryDataObjectRecordSets_1', 'date': '2019-08-14 15:22:14.937688', 'status': '结束', 'exec_point': 'end', 'result_code': 1, 'totle_time': 2.000072479248047, 'check_case': '暂时没想到咋校验', 'check_result': 'success', 'data_count': 0}
[2019-08-14 15:24:42,743]-[CRITICAL]-[main]-[59]   Run Test: ASyncGetHistoryDataObjectRecordSets_1
[2019-08-14 15:24:42,743]-[INFO]-[history_pb_requests]-[19]   start make pb_request.
[2019-08-14 15:24:42,901]-[CRITICAL]-[main]-[59]   Run Test: ASyncGetHistoryDataObjectRecordSets_1
[2019-08-14 15:24:42,901]-[INFO]-[history_pb_requests]-[19]   start make pb_request.
[2019-08-14 15:24:43,183]-[CRITICAL]-[main]-[59]   Run Test: ASyncGetHistoryDataObjectRecordSets_1
[2019-08-14 15:24:43,184]-[INFO]-[history_pb_requests]-[19]   start make pb_request.
[2019-08-14 15:24:44,747]-[INFO]-[api]-[267]   async_GetHistoryDataObjectRecordSetsRequest success!
[2019-08-14 15:24:44,747]-[CRITICAL]-[main]-[71]   {'case_id': 'ASyncGetHistoryDataObjectRecordSets_1', 'date': '2019-08-14 15:24:42.743318', 'status': '结束', 'exec_point': 'end', 'result_code': 1, 'totle_time': 2.001041889190674, 'check_case': '暂时没想到咋校验', 'check_result': 'success', 'data_count': 0}
[2019-08-14 15:24:44,905]-[INFO]-[api]-[267]   async_GetHistoryDataObjectRecordSetsRequest success!
[2019-08-14 15:24:44,905]-[CRITICAL]-[main]-[71]   {'case_id': 'ASyncGetHistoryDataObjectRecordSets_1', 'date': '2019-08-14 15:24:42.901273', 'status': '结束', 'exec_point': 'end', 'result_code': 1, 'totle_time': 2.0009241104125977, 'check_case': '暂时没想到咋校验', 'check_result': 'success', 'data_count': 0}
[2019-08-14 15:24:45,187]-[INFO]-[api]-[267]   async_GetHistoryDataObjectRecordSetsRequest success!
[2019-08-14 15:24:45,187]-[CRITICAL]-[main]-[71]   {'case_id': 'ASyncGetHistoryDataObjectRecordSets_1', 'date': '2019-08-14 15:24:43.184264', 'status': '结束', 'exec_point': 'end', 'result_code': 1, 'totle_time': 2.0010719299316406, 'check_case': '暂时没想到咋校验', 'check_result': 'success', 'data_count': 0}
